Rk,School,G,W▼,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
268,Sacred Heart,27,12,15,0.444,-9.32,-7.63,,8,8,,6,5,,5,9,,2057,2061,,70.3,108.4,0.275,0.437,0.55,50.9,60,10.1,8.9,0.521,14.8,31.1,0.201
269,Saint Francis (PA),29,12,17,0.414,-13,-6,,7,8,,8,4,,4,13,,2092,2126,,67.5,105.1,0.226,0.421,0.561,50.1,54.4,8.8,7.2,0.539,16.9,26.9,0.165
270,Tennessee-Martin,29,12,17,0.414,-11.02,-7.48,,8,10,,7,4,,5,12,,2182,2102,,68.9,106.4,0.353,0.481,0.531,52.8,52.3,11.7,9.4,0.495,15.9,35,0.248
271,Virginia Tech,28,12,16,0.429,3.94,6.62,,7,10,,7,8,,5,4,,1933,2008,,66.1,104.5,0.305,0.405,0.543,51.8,53,7.9,5.6,0.512,17.1,32,0.219
272,Wyoming,29,12,17,0.414,-0.09,4.88,,5,13,,8,6,,3,9,,1961,2077,,66,102,0.308,0.39,0.534,51.4,48.5,6.3,8.1,0.512,16.9,29.8,0.201
273,Cal Poly,28,11,17,0.393,-3.63,1.03,,5,11,,7,5,,4,12,,2255,2348,,75,105.5,0.278,0.505,0.572,47.9,52.6,9.6,5.5,0.543,18.8,28.1,0.211
274,Colorado,28,11,17,0.393,9.47,11.18,,2,15,,10,7,,0,8,,1966,2014,,68.3,101.9,0.362,0.378,0.55,51.6,59,10.3,11.1,0.509,18.8,29.2,0.273
275,DePaul,28,11,17,0.393,5.05,6.69,,2,15,,10,8,,1,9,,2022,2068,,67.9,104.5,0.279,0.474,0.544,50.5,60.9,8.6,8.8,0.517,16,28.5,0.197
276,Duquesne,27,11,16,0.407,1.08,0.96,,6,8,,8,6,,1,7,,1851,1800,,65.3,104.4,0.292,0.423,0.519,50.6,55.8,10.6,12.8,0.497,15,33.8,0.188
277,Evansville,29,11,18,0.379,-5.51,0.31,,8,10,,7,8,,4,10,,1946,2062,,67.3,99.7,0.3,0.416,0.526,47.7,54,9.1,13.4,0.497,15.3,23.4,0.208
278,FDU,29,11,18,0.379,-11.87,-7.18,,7,7,,7,4,,4,14,,2151,2140,,69.3,105.7,0.334,0.424,0.541,47.7,53.7,9.6,7.1,0.509,14.5,27.7,0.236
279,Fordham,27,11,16,0.407,-3.51,0.53,,3,11,,8,6,,2,8,,2018,2083,,70.7,104.2,0.33,0.416,0.533,50.4,54,10.8,8.3,0.497,16.1,31.4,0.237
280,Kansas City,29,11,18,0.379,-5.56,-2.12,,3,11,,8,5,,2,11,,2129,1971,,66.6,110.2,0.322,0.457,0.552,53.4,50.1,11.4,9.9,0.513,15.2,35.5,0.247
281,Louisiana,29,11,18,0.379,-9.35,-1.78,,8,8,,5,11,,6,4,,1931,2126,,67.3,98.6,0.312,0.376,0.503,45.1,44.8,10.9,8.4,0.463,14.1,26.4,0.23
282,Loyola (MD),27,11,16,0.407,-11.39,-8.12,,6,10,,6,6,,5,10,,1861,1905,,67.3,102.5,0.3,0.392,0.525,50.6,55.2,11,7.9,0.495,15.5,29.8,0.211
283,Massachusetts,28,11,17,0.393,-1.79,0.88,,6,9,,7,7,,4,6,,2048,2086,,71.2,101,0.349,0.311,0.49,51.3,48.6,10.7,13.9,0.456,13.8,35,0.23
284,Monmouth,29,11,18,0.379,-8.26,-2.64,,9,7,,7,2,,4,13,,2038,2201,,67.9,102.6,0.371,0.343,0.516,47.8,48,8.4,12.3,0.468,14.5,30.4,0.277
285,Morgan State,27,11,16,0.407,-14.79,-6.79,,5,6,,10,4,,1,12,,2176,2201,,73.2,109.1,0.348,0.22,0.551,50,44,9.5,10.8,0.517,15.4,34.8,0.252
286,Navy,29,11,18,0.379,-9.87,-8.08,,8,8,,8,5,,3,11,,2037,2036,,67,104.4,0.305,0.379,0.519,51.7,53.9,9,8.1,0.485,13.8,31.3,0.219
287,NC State,27,11,16,0.407,7.09,6.79,,4,12,,11,6,,0,8,,1895,1887,,65.5,106.6,0.322,0.347,0.524,47.2,50.1,10,10.7,0.488,12.3,29.3,0.231
288,North Carolina Central,27,11,16,0.407,-11.57,-7.01,,4,6,,8,4,,2,11,,2161,2026,,70.6,111.8,0.363,0.348,0.554,50.6,56.8,12.3,6.9,0.524,15.4,38.5,0.252
289,North Dakota,29,11,18,0.379,-7.2,-1.47,,5,9,,8,6,,2,10,,2246,2292,,70,110.6,0.333,0.399,0.533,52.3,43.7,8.4,6.5,0.499,13.4,35.2,0.236
290,Old Dominion,30,11,19,0.367,-10.51,-3.65,,7,10,,7,9,,4,7,,2064,2202,,66.7,102.3,0.322,0.355,0.491,51.4,43.9,8.3,7.9,0.452,14.2,36.3,0.228
291,Portland,29,11,18,0.379,-7.32,3.39,,6,10,,8,7,,3,8,,2094,2339,,69.4,102.2,0.329,0.427,0.547,47.6,62.3,6.8,8.5,0.506,16.4,23.6,0.254
292,Sam Houston,28,11,17,0.393,-1.75,1.93,,4,11,,7,3,,3,13,,2115,2108,,69.4,107.5,0.343,0.381,0.552,50.6,50.4,9.5,8.3,0.518,15.9,31.7,0.248
293,South Carolina,28,11,17,0.393,9.32,11.07,,1,14,,9,7,,1,9,,1964,2013,,66.9,103.9,0.442,0.383,0.536,52,54.1,8.5,8.2,0.492,16.4,31.1,0.312
294,Southern Utah,27,11,16,0.407,-8.51,-1.26,,3,10,,8,6,,2,10,,1918,1976,,70.6,100.6,0.351,0.328,0.526,51.3,48.6,7.4,9.5,0.485,17.7,32.6,0.258
295,Syracuse,27,11,16,0.407,4.44,8.36,,5,11,,9,6,,2,7,,2017,2123,,69.2,105.6,0.319,0.335,0.535,52.2,49.5,6.9,7,0.504,15.1,31.1,0.225
296,Tarleton State,28,11,17,0.393,-10.52,0.53,,6,7,,9,2,,1,13,,1793,1981,,68.9,92.9,0.43,0.257,0.528,48.6,48.8,14.5,11.8,0.476,22.8,30.9,0.32
297,Tulsa,28,11,17,0.393,-6.64,-2.22,,5,10,,8,7,,2,8,,1991,2059,,67.8,103,0.331,0.433,0.525,49.6,54.6,9,6.9,0.498,14.7,28.2,0.217
298,Western Illinois,30,11,19,0.367,-15.65,-8.21,,5,14,,8,7,,3,11,,2048,2142,,65.3,103.6,0.278,0.376,0.532,50.1,41.1,8.4,9.6,0.507,15.7,30.2,0.192
299,Alabama A&M,28,10,18,0.357,-18.52,-9.8,,6,9,,8,9,,2,9,,2121,2216,,74.2,100.3,0.381,0.411,0.51,49.9,54.4,11.5,11.6,0.475,18,36.2,0.255
300,Charleston Southern,30,10,20,0.333,-9.83,-1.83,,6,9,,7,5,,3,13,,2187,2347,,70,102.8,0.463,0.424,0.529,52.1,48.6,6.6,6.6,0.492,16.4,31.8,0.306
301,Charlotte,27,10,17,0.37,-5.04,-0.35,,3,11,,8,7,,1,9,,1921,2021,,65.6,106,0.425,0.404,0.537,47.1,53.4,7.7,5.7,0.486,12.6,24.8,0.319
302,Denver,29,10,19,0.345,-10.92,-3.07,,4,10,,7,6,,3,11,,2120,2277,,68.9,104.3,0.329,0.368,0.55,47.6,45.6,9.5,7,0.515,15.9,26.5,0.242
303,Eastern Illinois,29,10,19,0.345,-13.93,-5.7,,6,12,,5,7,,4,12,,1918,2022,,67.9,96.6,0.329,0.291,0.49,49,47.6,12.7,8.7,0.457,15.5,30.4,0.219
304,Eastern Washington,28,10,18,0.357,-6.87,-1.02,,6,9,,8,4,,2,13,,2040,2122,,69,105.6,0.31,0.373,0.557,47.7,52.6,11.4,9,0.52,15.9,27.5,0.239
305,Fairfield,27,10,17,0.37,-14.45,-7.14,,6,10,,6,6,,3,10,,1825,1966,,66,102,0.27,0.383,0.499,48.3,52.7,9.6,7.7,0.465,13.2,30.9,0.196
306,Gardner-Webb,27,10,17,0.37,-7.35,-3.05,,5,9,,5,5,,3,12,,2027,2143,,70.6,106.4,0.37,0.343,0.558,52,41.1,7.2,9,0.528,17.9,33.2,0.257
307,Harvard,24,10,14,0.417,-8.71,-3.97,,5,6,,5,4,,5,10,,1656,1759,,66.7,102.9,0.261,0.405,0.542,47.5,54.9,10.7,7.5,0.51,15.8,25.6,0.199
308,Jackson State,27,10,17,0.37,-9.45,-2.82,,10,4,,6,1,,4,15,,1913,2092,,70.6,98.5,0.375,0.349,0.512,48.6,49.1,10.4,9.7,0.467,17,29.4,0.272
309,Lehigh,27,10,17,0.37,-9.95,-5.67,,5,11,,8,4,,2,13,,1880,1920,,67.1,102.8,0.295,0.38,0.539,46.9,51.8,8.7,5.7,0.515,13.8,21.8,0.199
310,Niagara,27,10,17,0.37,-12.33,-7.75,,5,11,,6,5,,2,12,,1835,1919,,65.2,103.2,0.301,0.431,0.555,48.3,51.5,9.7,6.8,0.523,16.6,23.8,0.222
311,Pepperdine,29,10,19,0.345,-3.2,2.51,,4,12,,7,8,,2,10,,2110,2208,,69.8,104.2,0.319,0.34,0.532,50,60.5,8.8,7.7,0.499,14.4,28.3,0.227
312,Richmond,29,10,19,0.345,-5.03,2,,5,11,,6,8,,2,10,,1948,2095,,65.1,101.5,0.319,0.453,0.536,46.6,50.7,9.2,7.2,0.492,13.9,20,0.252
313,Rider,28,10,18,0.357,-12.83,-6.36,,6,11,,3,7,,7,11,,1831,2012,,65.5,99.9,0.309,0.304,0.502,49.7,51.7,8.4,9.5,0.465,15.2,31.5,0.221
314,Saint Peter's,24,10,14,0.417,-10.18,-7.7,,5,11,,5,5,,5,9,,1589,1581,,64.7,101.8,0.338,0.391,0.507,54,46.8,10.7,10.5,0.466,17.6,39.5,0.246
315,Seattle,26,10,16,0.385,-0.56,-0.23,,5,7,,8,4,,2,11,,1866,1779,,68,105.5,0.413,0.385,0.532,51.4,51.9,11.5,9.4,0.487,14.6,30.5,0.299
316,Southern Indiana,28,10,18,0.357,-13.14,-8.07,,5,13,,8,7,,2,11,,2012,2051,,68.6,103.4,0.31,0.34,0.525,49.6,44.1,9.9,7.6,0.49,14.7,29.3,0.226
317,Southern Mississippi,29,10,19,0.345,-9.45,-2.96,,5,11,,9,4,,1,13,,2082,2208,,71.9,99.1,0.341,0.356,0.522,50.3,56.2,9.6,11.3,0.489,17.1,28.4,0.235
318,UTSA,27,10,17,0.37,-3.41,0.99,,4,11,,6,6,,3,11,,2076,2101,,70.6,107.9,0.285,0.445,0.542,46.2,48,13.6,9.7,0.5,13.7,29.1,0.232
319,Weber State,29,10,19,0.345,-9.33,-2.22,,4,11,,5,9,,3,10,,2100,2084,,67.2,107.2,0.343,0.384,0.555,49.7,45.1,9.2,7.3,0.527,14.7,26.4,0.236
320,Western Michigan,28,10,18,0.357,-9.64,-3.57,,7,8,,6,8,,4,10,,2026,2150,,69.8,103.7,0.313,0.321,0.503,52.7,46.7,9.9,7,0.472,13.6,35.1,0.211
321,Coastal Carolina,29,9,20,0.31,-11.9,-4.98,,2,14,,5,7,,3,13,,1934,2074,,64.6,102.8,0.343,0.396,0.533,51.7,49.5,5.3,4.3,0.501,16.2,29,0.239
322,Grambling,27,9,18,0.333,-12.4,-5.7,,6,8,,5,6,,4,10,,1818,1858,,67.7,99,0.33,0.353,0.529,49.8,48.1,9.6,9.1,0.493,17.1,26.9,0.238
323,IU Indy,29,9,20,0.31,-11.65,-4.3,,5,13,,5,7,,4,11,,2158,2194,,67,110.5,0.349,0.478,0.549,50,55.3,9.2,6.1,0.511,13.7,32,0.257
324,Le Moyne,29,9,20,0.31,-17.35,-8.09,,4,10,,6,7,,2,13,,2150,2311,,69.1,104.1,0.375,0.421,0.56,47.9,56.2,9.7,6.2,0.526,17.5,26.7,0.265
325,Missouri State,29,9,20,0.31,-3.2,0.54,,2,16,,7,7,,1,11,,1996,2056,,65.1,103.1,0.353,0.367,0.542,51.6,49.9,11.1,7.7,0.517,17.7,32.2,0.23
326,Pacific,31,9,22,0.29,-6.13,2.49,,4,13,,5,9,,2,13,,2152,2322,,67.7,101.8,0.316,0.38,0.527,50.8,51.5,8.2,8.2,0.493,16.3,29.7,0.227
327,Alcorn State,27,8,19,0.296,-12.57,-4.07,,8,6,,5,2,,3,17,,1754,1981,,66.7,96.9,0.308,0.303,0.493,49.5,43.6,9.9,8.9,0.454,17,33.6,0.222
328,Buffalo,28,8,20,0.286,-15.57,-3.8,,3,12,,5,8,,3,12,,2000,2262,,73.8,96.8,0.35,0.441,0.521,46.8,54.5,9.2,8.8,0.486,17.6,24.6,0.243
329,Central Arkansas,30,8,22,0.267,-14.75,-3.82,,4,13,,7,7,,1,15,,2115,2344,,68,101.2,0.281,0.482,0.511,49.5,56.6,10.7,8.1,0.48,15.5,30.5,0.198
330,Detroit Mercy,29,8,21,0.276,-12.35,-2.7,,4,14,,6,7,,2,12,,1933,2164,,67.3,97.4,0.288,0.283,0.493,51.2,44.7,8.5,7.9,0.454,15.8,32.5,0.215
331,Florida International,27,8,19,0.296,-6.72,-1.52,,2,12,,6,7,,1,11,,1887,1955,,70,98.9,0.328,0.292,0.512,50.9,49.6,13,13.9,0.477,17.1,32.6,0.23
332,New Hampshire,29,8,21,0.276,-19.05,-7.12,,6,8,,6,6,,2,13,,1945,2223,,69,97.2,0.274,0.412,0.51,48.4,47,7.9,6.8,0.486,16.9,28.1,0.181
333,Stetson,30,8,22,0.267,-16.19,-3.77,,6,11,,5,9,,3,10,,2149,2452,,69.4,102.4,0.345,0.378,0.545,46.6,46.3,7.4,8.2,0.507,16.5,25.4,0.254
334,Western Carolina,27,8,19,0.296,-15.09,-1.42,,4,12,,7,6,,1,13,,1888,2133,,71.9,96,0.277,0.488,0.506,50.1,49.7,7.5,8.5,0.468,17.4,27.9,0.208
335,Long Beach State,28,7,21,0.25,-10.23,-0.2,,3,13,,3,9,,4,9,,1873,2063,,66,100.4,0.358,0.354,0.54,47.6,49,8.7,8.4,0.498,18.7,29,0.268
336,Louisiana-Monroe,30,7,23,0.233,-14.36,-3.89,,3,14,,5,10,,2,12,,2069,2250,,69.1,99.4,0.312,0.344,0.499,49.5,52.4,10.7,7,0.462,14.6,30.7,0.222
337,North Carolina A&T,29,7,22,0.241,-11.43,-3.53,,3,13,,5,9,,2,13,,2054,2223,,70.3,100.8,0.315,0.363,0.502,47.4,44.8,9.1,7.9,0.47,12.8,27.1,0.215
338,Oral Roberts,27,7,20,0.259,-10.72,-0.46,,3,11,,7,6,,0,14,,2018,2126,,68.7,108.3,0.356,0.452,0.563,47.1,41.7,7.4,6.3,0.525,15.1,25.5,0.267
339,Pennsylvania,24,7,17,0.292,-9.02,-2.19,,3,8,,5,8,,2,8,,1653,1817,,66.9,102.4,0.288,0.449,0.518,47.9,56.3,7.1,4.6,0.491,14.1,27.3,0.196
340,Sacramento State,28,7,21,0.25,-13.16,-3.48,,3,12,,5,9,,2,12,,1879,1968,,66.4,101,0.32,0.466,0.537,50.6,56.2,9,11.1,0.511,17.7,28,0.215
341,Seton Hall,27,7,20,0.259,0.03,7.44,,2,14,,5,9,,0,9,,1689,1889,,64.8,95.2,0.34,0.305,0.486,48.8,49.7,12.3,11.9,0.448,16.5,32.3,0.233
342,Cal State Fullerton,28,6,22,0.214,-14.1,0.37,,1,15,,4,9,,2,13,,1798,2135,,68.4,93.9,0.422,0.333,0.508,48.1,41.9,8.3,5.9,0.453,18.8,28.1,0.314
343,Miami (FL),28,6,22,0.214,1.09,7.3,,2,15,,6,10,,0,8,,2075,2249,,67.4,109,0.276,0.389,0.556,48.8,47.7,9.1,9,0.522,14.2,28.1,0.213
344,South Carolina Upstate,29,6,23,0.207,-14.53,-2.34,,2,12,,4,9,,2,13,,2198,2419,,74,102.4,0.31,0.365,0.544,47.9,48.3,9.8,6.1,0.518,16.6,25.8,0.211
345,Stony Brook,29,6,23,0.207,-14.18,-3.6,,2,14,,3,9,,3,13,,1922,2170,,65.2,101.7,0.313,0.394,0.518,48.8,49.4,8.1,6.3,0.476,15.8,29.8,0.238
346,Utah Tech,27,6,21,0.222,-9.73,-0.93,,2,10,,5,5,,0,15,,1911,2066,,69.2,101.8,0.33,0.386,0.525,48,51.2,9.3,8,0.495,15.7,29.1,0.224
347,Arkansas-Pine Bluff,28,5,23,0.179,-25.03,-6.68,,2,13,,4,6,,1,17,,2027,2403,,74,97.8,0.315,0.382,0.525,46.5,53.8,9.7,6.3,0.509,17.7,26.6,0.188
348,Bellarmine,30,5,25,0.167,-14.37,-4.3,,2,15,,5,10,,0,15,,2191,2404,,67.7,107,0.257,0.445,0.578,46.9,54.4,9.3,5.7,0.549,16,21.5,0.199
349,Coppin State,26,5,21,0.192,-21.34,-3.9,,3,8,,4,5,,1,16,,1584,1994,,69.3,87.9,0.375,0.323,0.474,45.5,51.5,11.8,5.1,0.431,18.9,26.6,0.255
350,Fresno State,28,5,23,0.179,-5.1,4.9,,1,16,,4,8,,1,13,,2000,2280,,71.5,96.8,0.357,0.355,0.503,45.8,45.5,10.4,8.7,0.464,15.7,26,0.248
351,NJIT,28,5,23,0.179,-16.91,-6.98,,2,11,,4,7,,0,16,,1828,2040,,67.1,96.8,0.266,0.376,0.494,49,44.3,6.9,9.9,0.458,15.6,29.2,0.197
352,Northern Illinois,28,5,23,0.179,-16.84,-3.92,,1,14,,5,8,,0,15,,1988,2157,,71.4,99.1,0.302,0.469,0.522,44.4,50.3,8.6,10.1,0.489,14.1,19.4,0.215
353,Prairie View,28,5,23,0.179,-18.35,-6.46,,4,11,,3,6,,2,17,,2023,2323,,72.4,99.9,0.344,0.334,0.527,41.6,47.5,11.5,7.7,0.492,15.1,24.1,0.243
354,The Citadel,27,5,22,0.185,-16.82,-4.12,,0,16,,5,11,,0,11,,1827,2012,,66.3,100.7,0.343,0.46,0.518,48.6,52.5,8.9,6.4,0.495,16,29,0.214
355,West Georgia,30,5,25,0.167,-15.28,-3.72,,3,14,,3,8,,2,15,,2067,2356,,69.4,99.3,0.283,0.303,0.511,47.3,51.9,10.1,9,0.482,14.6,26.1,0.196
356,Air Force,28,4,24,0.143,-7.34,2.73,,1,16,,3,12,,0,12,,1748,2030,,64.3,96.2,0.363,0.476,0.528,46.7,62,8.8,8.3,0.504,18.4,23.2,0.232
357,Chicago State,29,4,25,0.138,-20.09,-3.71,,4,10,,3,7,,1,16,,1805,2280,,69.6,89.1,0.276,0.417,0.473,43.5,48.7,10.6,10.3,0.44,16.7,23,0.192
358,East Texas A&M,29,4,25,0.138,-12.42,-1.28,,2,16,,3,9,,1,16,,1864,2187,,68.1,94,0.283,0.489,0.514,45.2,60.8,12.3,10,0.492,20.1,28,0.183
359,Maryland-Eastern Shore,26,4,22,0.154,-22.08,-1.99,,0,10,,4,6,,0,16,,1740,2065,,69.4,96.5,0.353,0.364,0.51,46.4,47.2,7.8,5.2,0.48,16.9,26.1,0.23
360,New Orleans,29,4,25,0.138,-14.28,-0.21,,2,16,,0,11,,3,13,,1965,2373,,69.5,96.7,0.344,0.309,0.495,47.4,50.6,10.4,7.2,0.461,16.2,31.2,0.229
361,San Diego,29,4,25,0.138,-7.73,2.74,,1,15,,4,13,,0,11,,1991,2279,,71.1,96.6,0.309,0.357,0.495,48.1,45.8,9.8,10.6,0.451,16.1,29.9,0.232
362,Canisius,27,3,24,0.111,-17.65,-4.39,,3,13,,1,10,,2,13,,1772,2130,,66.2,99.1,0.241,0.409,0.548,41.6,48.1,9.4,6.8,0.519,17.1,18.4,0.183
363,Green Bay,29,3,26,0.103,-13.01,-1.97,,1,17,,2,10,,1,16,,2005,2316,,69.2,99.9,0.361,0.462,0.558,44.5,59.7,7.3,5.4,0.512,17.4,17.9,0.283
364,Mississippi Valley State,28,3,25,0.107,-34.77,-2.93,,1,14,,2,6,,1,19,,1494,2285,,66.7,80,0.314,0.296,0.461,43.1,41.6,9.2,5.3,0.426,22.2,23.9,0.206
