Rk,School,G,W▼,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
53,North Texas,26,20,6,0.769,8.99,0.91,,11,3,,13,1,,6,4,,1771,1528,,61.2,111.3,0.368,0.371,0.561,54.3,44.8,12.8,7.7,0.518,14.9,34.1,0.281
54,Oregon,28,20,8,0.714,16.92,12.13,,9,8,,10,4,,6,4,,2144,2010,,68.8,110.3,0.338,0.386,0.561,51.2,54.5,10.2,10,0.522,13.9,30.5,0.258
55,Oregon State,29,20,9,0.69,9.59,1.7,,10,6,,15,2,,3,6,,2232,1975,,65.3,116.3,0.375,0.355,0.594,53.9,55.3,10.3,9.8,0.55,14.8,32.8,0.298
56,Southern Methodist,27,20,7,0.741,16.2,5.72,,11,5,,11,5,,6,2,,2219,1936,,69.6,118.1,0.362,0.362,0.582,54.6,56.8,11.3,10.8,0.549,14.3,38.1,0.265
57,St. Thomas,29,20,9,0.69,1.11,-3.74,,10,4,,12,0,,7,8,,2436,2198,,70,119.5,0.336,0.457,0.62,47.3,53.4,10,9.9,0.588,12.5,22.7,0.263
58,Texas A&M,27,20,7,0.741,20.34,12.75,,9,5,,12,2,,4,4,,1986,1781,,67.4,109.1,0.4,0.38,0.519,56.4,48.8,11.5,14.7,0.479,14.8,41.8,0.275
59,UCLA,28,20,8,0.714,19.6,9.46,,11,6,,14,2,,4,4,,2093,1809,,66.8,111.9,0.336,0.356,0.558,50.7,58.9,12.5,10.3,0.529,13.6,32.1,0.236
60,UNC Asheville,28,20,8,0.714,-4.02,-3.98,,11,3,,13,0,,6,8,,2334,2137,,70.9,116,0.353,0.365,0.57,49.5,48.6,10.3,11.6,0.54,12.3,31.8,0.253
61,Utah Valley,27,20,7,0.741,1.11,-2.65,,12,1,,11,0,,8,6,,2046,1857,,69,108.8,0.39,0.317,0.551,52.9,59.7,9.9,15.2,0.52,14.7,31.3,0.266
62,Belmont,29,19,10,0.655,1.26,-0.2,,11,7,,10,5,,8,4,,2348,2284,,70.8,113.9,0.267,0.45,0.579,48.7,59.7,9.7,8.9,0.556,13.5,27.3,0.191
63,Boise State,27,19,8,0.704,14.39,5.55,,11,5,,12,1,,4,5,,2055,1790,,66.6,113.8,0.391,0.401,0.58,56.1,57.2,8.1,7,0.536,14.8,32.9,0.301
64,Brigham Young,27,19,8,0.704,19.22,7.96,,10,6,,13,2,,4,5,,2181,1877,,67.6,117.9,0.29,0.482,0.593,54.5,59.5,10.7,10,0.574,14.8,33.7,0.202
65,Cleveland State,29,19,10,0.655,-1.86,-4.05,,13,5,,12,4,,7,6,,2137,1920,,67.4,108.9,0.307,0.332,0.536,50.6,51.9,12.9,14.7,0.503,14.3,35.3,0.221
66,Colorado State,28,19,9,0.679,11.33,4.86,,13,4,,12,2,,6,4,,2080,1899,,66.8,109.7,0.304,0.432,0.579,52.7,63.6,7.5,8.3,0.543,15.7,27,0.236
67,Creighton,27,19,8,0.704,17.34,10.75,,12,4,,13,2,,5,4,,2034,1856,,68.7,109.6,0.298,0.498,0.583,52,63.4,5.3,11.5,0.554,16.2,25.8,0.223
68,Jacksonville State,28,19,9,0.679,1.95,0.11,,11,4,,12,1,,6,6,,2100,1919,,66.5,112.8,0.312,0.374,0.558,54,44.2,7.2,10.5,0.52,13,31.9,0.24
69,Kansas,28,19,9,0.679,20.88,12.31,,10,7,,13,2,,4,7,,2125,1885,,69.2,108.7,0.238,0.341,0.553,52.5,61.2,9.3,13.6,0.532,14.4,29.9,0.167
70,Kent State,28,19,9,0.679,2.16,-2.72,,9,6,,10,4,,7,4,,2071,1895,,67.5,109,0.293,0.387,0.537,53.4,49.3,11.3,10.8,0.5,14.5,35.9,0.223
71,Milwaukee,29,19,10,0.655,0.4,-3.49,,12,6,,11,2,,7,8,,2286,2090,,69.9,111.9,0.382,0.312,0.549,57.5,48.7,10.4,9.6,0.516,15.9,41.6,0.264
72,Mississippi,27,19,8,0.704,18.54,10.17,,8,6,,11,3,,5,4,,2095,1869,,69.3,110.9,0.349,0.413,0.553,47,56.5,12.9,14.2,0.516,11.2,25.1,0.256
