,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
39,Cal State Northridge,27,20,7,0.741,2.57,-4.23,,12,4,,8,2,,10,5,,2173,1920,,1085,785,1676,0.468,182,530,0.343,421,587,0.717,355,1097,452,219,84,376,553
40,California,27,12,15,0.444,5.58,6.77,,5,11,,10,5,,2,9,,2002,2034,,1090,673,1603,0.42,198,613,0.323,458,610,0.751,355,999,282,160,100,311,432
41,California Baptist,26,13,13,0.5,0.51,-1.11,,6,6,,9,5,,3,7,,1912,1870,,1055,692,1588,0.436,172,548,0.314,356,472,0.754,315,942,319,175,71,305,449
42,Campbell,29,15,14,0.517,-3.14,-4.81,,10,6,,8,5,,7,9,,2059,1924,,1165,721,1632,0.442,222,681,0.326,395,509,0.776,243,935,396,201,88,302,471
43,Canisius,27,3,24,0.111,-17.65,-4.39,,3,13,,1,10,,2,13,,1772,2130,,1080,642,1451,0.442,223,593,0.376,265,350,0.757,155,693,309,169,62,333,441
44,Central Arkansas,30,8,22,0.267,-14.75,-3.82,,4,13,,7,7,,1,15,,2115,2344,,1230,744,1826,0.407,266,881,0.302,361,513,0.704,352,1089,421,223,72,379,411
45,Central Connecticut State,27,21,6,0.778,-3.19,-9.83,,12,2,,10,2,,11,3,,1968,1704,,1080,745,1550,0.481,185,546,0.339,293,401,0.731,237,963,397,199,112,300,297
46,Central Michigan,28,13,15,0.464,-2.98,-1.52,,6,9,,8,5,,5,9,,2118,2003,,1120,758,1637,0.463,186,567,0.328,416,574,0.725,299,1018,388,206,80,345,461
47,Charleston Southern,30,10,20,0.333,-9.83,-1.83,,6,9,,7,5,,3,13,,2187,2347,,1215,724,1695,0.427,221,719,0.307,518,784,0.661,351,1122,352,141,86,407,525
48,Charlotte,27,10,17,0.37,-5.04,-0.35,,3,11,,8,7,,1,9,,1921,2021,,1105,631,1488,0.424,185,601,0.308,474,633,0.749,231,849,337,140,57,258,460
49,Chattanooga,29,21,8,0.724,0.52,-3.74,,13,3,,13,3,,8,5,,2283,2101,,1170,808,1690,0.478,275,781,0.352,392,514,0.763,243,963,502,197,85,294,461
50,Chicago State,29,4,25,0.138,-20.09,-3.71,,4,10,,3,7,,1,16,,1805,2280,,1165,636,1686,0.377,210,703,0.299,323,465,0.695,255,904,310,214,103,382,562
51,Cincinnati,28,17,11,0.607,15.3,8.69,,7,10,,12,4,,4,7,,2005,1820,,1120,761,1671,0.455,212,637,0.333,271,407,0.666,312,969,388,197,122,277,380
52,Clemson,27,22,5,0.815,18.84,7.84,,14,2,,13,2,,7,3,,2092,1795,,1110,752,1602,0.469,249,641,0.388,339,441,0.769,298,949,401,201,101,286,414
53,Cleveland State,29,19,10,0.655,-1.86,-4.05,,13,5,,12,4,,7,6,,2137,1920,,1165,780,1741,0.448,192,578,0.332,385,535,0.72,358,998,405,254,138,334,523
54,Coastal Carolina,29,9,20,0.31,-11.9,-4.98,,2,14,,5,7,,3,13,,1934,2074,,1165,673,1559,0.432,215,618,0.348,373,535,0.697,284,1050,333,100,46,351,516
55,Colgate,29,12,17,0.414,-7.76,-5.58,,9,7,,8,3,,4,12,,2093,2121,,1170,778,1668,0.466,255,716,0.356,282,387,0.729,229,935,404,176,70,327,442
